NOMBRE,CALLE,COLONIA,ALCALDÍA,CP,CATEGORÍA,LATITUD,LONGITUD
Motel Afrodita,Instituto Politécnico Nacional 4709,Tlacamaca,Gustavo A. Madero,7380,2 Estrellas,19.474082,-99.136758
Motel Central Inn S.A. de C.V.,Pochtecas 17,Central de Abasto,Iztapalapa,9040,2 Estrellas,19.380244,-99.088961
Motel La Flor,Avenida Insurgentes Norte 1020,Tlacamaca,Gustavo A. Madero,7380,2 Estrellas,19.473603,-99.136075
Motel Quinta Bugambilias S.A. de C.V.,Calzada de la Viga 185,Paulino Navarro,Cuauhtémoc,6870,2 Estrellas,19.41324,-99.12904
MOTEL QUINTA MARGARITA S.A. DE C.V. ,Calzada Ermita Iztapalapa 1542 F,San Miguel,Iztapalapa,9699,2 Estrellas,19.355366,-99.083603
Motel Tentación S.A. de C.V.,Guelatao 80,Santa María Aztahuacan,Iztapalapa,9500,2 Estrellas,19.359593,-99.040181
Posada Real de Juárez,Tokio 66,Juárez,Cuauhtémoc,6600,2 Estrellas,19.42345,-99.17225
Quinta Inn Motel S.A. de C.V.,Avenida 5 Eje 3 Oriente,Granjas San Antonio,Iztapalapa,9070,2 Estrellas,19.359861,-99.110378
Santa Fe Hotel,Carretera Federal MéxicoToluca kilometro 13.2  1285,Lomas Altas de Santa Fe,Álvaro Obregón,1219,2 Estrellas,19.388295,-99.240193
Suites Extasis S.A. de C.V.,Avenida Xochimilco 211,Agrícola Pantitlán,Iztacalco,8100,2 Estrellas,19.413361,-99.06371
Suites Florencia Motel S.A. de C.V.,Avenida Xochimilco 44,Agrícola Pantitlán,Iztacalco,8100,2 Estrellas,19.413477,-99.06021
Suites Havre,Havre 74,Juárez,Cuauhtémoc,6600,2 Estrellas,19.425473,-99.160362
Apartamentos Altamira,Miguel Ramos Arizpe 28,Tabacalera,Cuauhtémoc,6030,1 Estrella,19.437282,-99.152654
Hotel Alcázar,Doctor Liceaga 143,Doctores,Cuauhtémoc,6720,1 Estrella,19.422361,-99.150773
Hotel Alvarado,Fray Bernardino de Sahagún 12,Buenavista,Cuauhtémoc,6350,1 Estrella,19.439752,-99.15416
Hotel América,Buenavista 4,Guerrero,Cuauhtémoc,6300,1 Estrella,19.439553,-99.15336
Hotel Ancona,Eligio Ancona 226,Santa María la Ribera,Cuauhtémoc,6400,1 Estrella,19.453052,-99.160948
Hotel Astoria,Zarco 39,Guerrero,Cuauhtémoc,6300,1 Estrella,19.439711,-99.1461
Hotel Atoyac,Guerrero 161,Guerrero,Cuauhtémoc,6300,1 Estrella,19.445518,-99.147251
Hotel Aviación,Avenida Iztlaccihuatl 109,Moctezuma,Venustiano Carranza,15500,1 Estrella,19.428663,-99.10405
Hotel Bahía,Mar Irlanda 2,Anáhuac,Miguel Hidalgo,11320,1 Estrella,19.451937,-99.184944
Hotel Bajío,Tonalá 357,Roma Sur,Cuauhtémoc,6760,1 Estrella,19.404821,-99.159467
Hotel Balbuena,Carretones 136,Merced Balbuena,Venustiano Carranza,15810,1 Estrella,19.424885,-99.120502
Hotel Barreda,Gabino Barreda 33,San Rafael,Cuauhtémoc,6470,1 Estrella,19.440766,-99.163419
Hotel Bernal Díaz,Bernal Díaz del Castillo 19,Guerrero,Cuauhtémoc,6300,1 Estrella,19.440341,-99.154349
Hotel Bolivar Suites,Simón Bolívar 375,Obrera,Cuauhtémoc,6800,1 Estrella,19.41165,-99.141789
Hotel Bugambilias,Calzada Ignacio Zaragoza 1316,Juan Escutia,Iztapalapa,9100,1 Estrella,19.397253,-99.05614
Hotel Caleta,Juan de Dios Peza 155,Obrera,Cuauhtémoc,6800,1 Estrella,19.413125,-99.135908
Hotel Campeche,Campeche 62,Roma Sur,Cuauhtémoc,6760,1 Estrella,19.410323,-99.161638
Hotel Casa Blanca,Manuel Gutierrez Nájera 34 A,Obrera,Cuauhtémoc,6800,1 Estrella,19.41578,-99.142156
Hotel Celta,Lorenzo Boturini 41,Obrera,Cuauhtémoc,6800,1 Estrella,19.41862,-99.141593
Hotel Central,Eje Mosqueta 248,Buenavista,Cuauhtémoc,6350,1 Estrella,19.44559,-99.150044
Hotel Cervantes,Coahuila 25,Roma Norte,Cuauhtémoc,6700,1 Estrella,19.412665,-99.15614
Hotel Coloso,Fernando de Alva Ixtlilxochitl 12 A,Obrera,Cuauhtémoc,6800,1 Estrella,19.42033,-99.142774
Hotel Congreso,Allende 18,Centro (Área 2),Cuauhtémoc,6010,1 Estrella,19.437159,-99.138129
Hotel Cónsul,Avenida Insurgentes Centro 133,San Rafael,Cuauhtémoc,6470,1 Estrella,19.433316,-99.158739
Hotel Corona,Calzada General Mariano Escobedo  65 B,Popotla,Miguel Hidalgo,11400,1 Estrella,19.451784,-99.181947
Hotel Covadonga,2 de Abril 40,Guerrero,Cuauhtémoc,6300,1 Estrella,19.438564,-99.141813
Hotel Dalje,Alfredo Chavero 170,Tránsito,Cuauhtémoc,6820,1 Estrella,19.41707,-99.133429
Hotel Del Norte,Avenida Canal del Norte 13,Morelos,Cuauhtémoc,6200,1 Estrella,19.452714,-99.129312
Hotel Diana,Santa Cruz 18,Portales Sur,Benito Juárez,3300,1 Estrella,19.370362,-99.142353
Hotel Drigales,Eje Mosqueta 32,Guerrero,Cuauhtémoc,6300,1 Estrella,19.443961,-99.140142
Hotel Embajadores,Comonfort 18 A,Centro (Área 2),Cuauhtémoc,6010,1 Estrella,19.443082,-99.135391
Hotel Escorial,Callejón del Hormiguero 4,Centro (Área 9),Cuauhtémoc,6090,1 Estrella,19.424357,-99.131176
Hotel España,Avenida Puente de Alvarado 100,Tabacalera,Cuauhtémoc,6030,1 Estrella,19.439339,-99.155095
Hotel Goya,Manuel Othon 133,Obrera,Cuauhtémoc,6800,1 Estrella,19.414515,-99.136339
Hotel Heraldo,Polo Norte 27,Angel Zimbrón,Azcapotzalco,2099,1 Estrella,19.47134,-99.188333
Hotel Imperio,Calzada Legaria 3,Tacuba,Miguel Hidalgo,11410,1 Estrella,19.459378,-99.190189
Hotel Jalisco,Avenida Jalisco 150,Tacubaya,Miguel Hidalgo,11870,1 Estrella,19.406782,-99.185008
Hotel La Joya,Ezequiel Montes 35,Tabacalera,Cuauhtémoc,6030,1 Estrella,19.438394,-99.155923
Hotel La Selva,Calzada Chabacano 7,Asturias,Cuauhtémoc,6850,1 Estrella,19.40826,-99.135145
Hotel La Toja,Libertad 60 A,Peralvillo,Cuauhtémoc,6220,1 Estrella,19.444516,-99.136263
Hotel Las Glorias,Mar Mediterráneo 76,Tacuba,Miguel Hidalgo,11410,1 Estrella,19.459423,-99.184126
